"psu_id","psu_type","bg_oper_id","TotHH","age18plus","age18_34","age35_49","age50_64","age65plus","MOS_psu","pik_psu","MOS_bg_oper","pik_bg","p3_18_34","p3_35_49","p3_50_64","p3_65plus","p_overall_18_34","p_overall_35_49","p_overall_50_64","p_overall_65plus","w_base_18_34","w_base_35_49","w_base_50_64","w_base_65plus","hh_rate","exp_n_18_34","exp_n_35_49","exp_n_50_64","exp_n_65plus","exp_n_total","takeall_18_34","takeall_35_49","takeall_50_64","takeall_65plus"
"26163538100","single_tract","261635381001",522,908,234,191,240,243,8.06626881427489,0.149652482639608,4.05979471314801,0.503305159625152,0.0588323749460002,0.0651689537114387,0.0563716292335533,0.0582582843115159,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.103256704980843,13.766775737364,12.4472701588848,13.5291910160528,14.1567630876984,53.9,FALSE,FALSE,FALSE,FALSE
"26163538600","single_tract","261635386001",515,963,250,248,273,192,16.2248247195807,0.301017156207434,4.32681017009675,0.266678392209378,0.0552017202923354,0.0611472570642428,0.0528928317483366,0.054663057852542,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.104660194174757,13.8004300730838,15.1645197519322,14.4397430672959,10.4953071076881,53.9,FALSE,FALSE,FALSE,FALSE
"26163539500","single_tract","261635395003",450,781,115,135,135,396,10.6502296975051,0.197592387708815,3.48313683260759,0.327048047933045,0.0685724897545595,0.0759581338471329,0.0657043502257674,0.0679033543646063,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.119777777777778,7.88583632177434,10.2543480693629,8.8700872804786,26.8897283283841,53.9,FALSE,FALSE,FALSE,FALSE
"26163540400","single_tract","261635404001",610,1064,330,243,257,234,9.07687863938933,0.168402201101843,4.77313504524457,0.525856435331353,0.0500399344463707,0.0554295177553539,0.0479469447573933,0.0495516410918658,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465613,225.667132867133,203.724820143885,235.518,227.890909090909,0.0883606557377049,16.5131783673023,13.469372814551,12.3223648026501,11.5950840154966,53.9,FALSE,FALSE,FALSE,FALSE
"26163540900","single_tract","261635409003",378,740,174,180,191,195,11.8414804220708,0.219693514324134,3.32124284942791,0.28047530638463,0.071915055777645,0.0796607130925879,0.0689071087871037,0.071213303383011,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465613,225.667132867133,203.724820143885,235.518,227.890909090909,0.142592592592593,12.5132197053102,14.3389283566658,13.1612577783368,13.8865941596871,53.9,FALSE,FALSE,FALSE,FALSE
"26163541500","single_tract","261635415002",980,1545,422,332,390,401,12.9607045346311,0.240458340160131,6.91519839436384,0.533551117987946,0.0345394811756063,0.0382595782002036,0.0330948194516656,0.0342024423822368,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.055,14.5756610561059,12.7021799624676,12.9069795861496,13.715179395277,53.9,FALSE,FALSE,FALSE,FALSE
"26163542300","single_tract","261635423001",367,667,217,161,149,140,7.82568779995717,0.145189012986218,2.99885206093944,0.38320619702665,0.0796462646086283,0.0882246167409153,0.076314949081625,0.0788690705105583,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.146866485013624,17.2832394200723,14.2041632952874,11.3709274131621,11.0416698714782,53.9,FALSE,FALSE,FALSE,FALSE
"26163543100","single_tract","261635431001",546,1037,281,249,271,236,8.57697373929452,0.159127527630696,4.65367213820898,0.542577403133305,0.0513244933622755,0.0568524309151074,0.0491777752143059,0.0508236651875506,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.0987179487179487,14.4221826347994,14.1562552978617,13.3271770830769,11.9943849842619,53.9,FALSE,FALSE,FALSE,FALSE
"26163545500","single_tract","261635455001",440,835,308,231,196,100,11.6988636987491,0.217047563984213,3.76973914367587,0.322231221830454,0.063359122651339,0.0701832576885152,0.0607090394352223,0.06274085968037,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465613,225.667132867133,203.724820143885,235.518,227.890909090909,0.1225,19.5146097766124,16.212332526047,11.8989717293036,6.274085968037,53.9,FALSE,FALSE,FALSE,FALSE
"26163545900","single_tract","261635459002",811,1248,524,333,283,108,11.4161690677491,0.211802765635419,5.63207952941656,0.49334233717047,0.042408379270961,0.0469760010236385,0.0406345899660311,0.0419945551922039,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.0664611590628853,22.2219907379835,15.6430083408716,11.4995889603868,4.53541196075802,53.9,FALSE,FALSE,FALSE,FALSE
"26163546700","single_tract","261635467001",740,1268,433,279,319,237,9.38168552806093,0.17405724541857,5.68268217463825,0.605720811856373,0.0420307448890395,0.0465576932878405,0.0402727506661039,0.0416206057943091,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.0728378378378378,18.1993125369541,12.9895964273075,12.8470074624871,9.86408357325125,53.9,FALSE,FALSE,FALSE,FALSE
"LPSU_26163503400_26163503600","paired_link","261635036001",643,1080,377,273,238,192,7.89128950623634,0.146406113288244,4.86369191754182,0.616336774071987,0.0491082430419297,0.0543974779292362,0.0470542226386713,0.0486290412005587,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.0838258164852255,18.5138076268075,14.8505114746815,11.1989049880038,9.33677591050727,53.9,FALSE,FALSE,FALSE,FALSE
"LPSU_26163506100_26163506200","paired_link","261635062001",778,1353,447,323,333,250,12.2685484324579,0.22761685403447,6.07718634002466,0.495346810870202,0.0393022940887384,0.0435353729400393,0.0376584211062698,0.0389187794172535,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.069280205655527,17.5681254576661,14.0619254596327,12.5402542283879,9.72969485431337,53.9,FALSE,FALSE,FALSE,FALSE
"LPSU_26163521800_26163522400","paired_link","261635224001",519,614,262,141,168,43,8.01320524445724,0.14866800082481,2.75512015191436,0.343822486491293,0.0866921773272767,0.0960294140185688,0.0830661567245628,0.0858462286955527,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465613,225.667132867133,203.724820143885,235.518,227.890909090909,0.103853564547206,22.7133504597465,13.5401473766182,13.9551143297266,3.69138783390876,53.9,FALSE,FALSE,FALSE,FALSE
"LPSU_26163537200_26163538800","paired_link","261635372001",350,450,122,131,126,71,7.48734222394173,0.138911729572203,2.03018705186174,0.271149226406395,0.11764795985113,0.130319308999861,0.112727170692992,0.116499942420613,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.154,14.3530511018378,17.0718294789818,14.2036235073169,8.2714959118635,53.9,FALSE,FALSE,FALSE,FALSE
"LPSU_26163539100_26163539700","paired_link","261635397001",1020,1675,424,338,449,464,13.5791588000338,0.251932445269644,7.48047219718952,0.550878909905,0.0319294502367711,0.0353684322011768,0.0305939566782834,0.031617880316944,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.052843137254902,13.538086900391,11.9545300839978,13.7366865485492,14.670696467062,53.9,FALSE,FALSE,FALSE,FALSE
"LPSU_26163544000_26163546301","paired_link","261635463011",720,1334,408,345,366,215,14.9046953495804,0.276524960103532,5.99888865506667,0.402483144698128,0.0398152688775082,0.0441035980082123,0.0381499400127432,0.0394267485603693,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.0748611111111111,16.2446297020233,15.2157413128333,13.962878044664,8.4767509404794,53.9,FALSE,FALSE,FALSE,FALSE
