"psu_id","bg_oper_id","n_bg_combined","TotHH","age18plus","age18_34","age35_49","age50_64","age65plus","MOS_bg_oper","pik_bg","selected_bg"
"26163546700","261635467001",1,740,1268,433,279,319,237,5.68268217463825,0.605720811856373,TRUE
"26163546700","261635467002",1,559,823,285,202,210,126,3.69900335342268,0.394279188143627,FALSE
"LPSU_26163503400_26163503600","261635034001",1,494,673,203,178,190,102,3.02759758869451,0.383663225928013,FALSE
"LPSU_26163503400_26163503600","261635036001",1,643,1080,377,273,238,192,4.86369191754182,0.616336774071987,TRUE
"LPSU_26163506100_26163506200","261635061001",1,744,1379,507,319,336,217,6.19136209243327,0.504653189129797,FALSE
"LPSU_26163506100_26163506200","261635062001",1,778,1353,447,323,333,250,6.07718634002466,0.495346810870202,TRUE
"LPSU_26163521800_26163522400","261635218001",1,901,1179,282,207,249,441,5.25808509254289,0.656177513508707,FALSE
"LPSU_26163521800_26163522400","261635224001",1,519,614,262,141,168,43,2.75512015191436,0.343822486491293,TRUE
"LPSU_26163537200_26163538800","261635372001",1,350,450,122,131,126,71,2.03018705186174,0.271149226406395,TRUE
"LPSU_26163537200_26163538800","261635388001",1,678,1219,365,265,321,268,5.45715517208,0.728850773593605,FALSE
"LPSU_26163539100_26163539700","261635391001",1,804,1362,391,298,351,322,6.0986866028443,0.449121090095,FALSE
"LPSU_26163539100_26163539700","261635397001",1,1020,1675,424,338,449,464,7.48047219718952,0.550878909905,TRUE
"LPSU_26163544000_26163546301","261635440001",1,1250,1985,694,473,568,250,8.90580669451369,0.597516855301872,FALSE
"LPSU_26163544000_26163546301","261635463011",1,720,1334,408,345,366,215,5.99888865506667,0.402483144698128,TRUE
