"psu_id","psu_type","sort_key","n_tracts","n_bg_hh","TotHH","age18plus_hh","age18_34_hh","age35_49_hh","age50_64_hh","age65plus_hh","MOS_psu","pik_psu","selected_psu"
"26163540500","single_tract","26163540500",1,3,1389,2563,748,660,610,545,11.5358113732698,0.214022474457696,FALSE
"26163540600","single_tract","26163540600",1,2,1371,2416,720,584,560,552,10.8571010353877,0.20143044592556,FALSE
"26163540700","single_tract","26163540700",1,3,1313,2400,776,607,556,461,10.8018538231606,0.200405451264576,FALSE
"26163540800","single_tract","26163540800",1,2,920,1627,464,414,389,360,7.31966035102565,0.135800748627563,FALSE
"26163540900","single_tract","26163540900",1,3,1439,2641,729,600,642,670,11.8414804220708,0.219693514324134,TRUE
"26163541000","single_tract","26163541000",1,3,1732,2729,867,635,641,586,12.2519575743213,0.227309045905776,FALSE
"26163541100","single_tract","26163541100",1,2,1238,2066,736,539,475,316,9.31062591856818,0.172738885316664,FALSE
"26163541200","single_tract","26163541200",1,2,1124,1563,535,356,441,231,7.00431488152294,0.129950183330667,FALSE
"26163541300","single_tract","26163541300",1,2,1119,1920,710,540,463,207,8.67107001217616,0.160873284084901,FALSE
"26163541400","single_tract","26163541400",1,3,1185,2025,603,448,582,392,9.0623919385753,0.168133431142399,FALSE
"26163541500","single_tract","26163541500",1,2,1794,2897,795,621,768,713,12.9607045346311,0.240458340160131,TRUE
"26163541700","single_tract","26163541700",1,3,1524,2054,635,485,489,445,9.22350438978201,0.171122530422672,FALSE
"26163541800","single_tract","26163541800",1,2,1267,1966,587,481,510,388,8.83021288385331,0.163825842000989,FALSE
"26163542100","single_tract","26163542100",1,2,1957,3419,985,884,804,746,15.3912703451422,0.285552325512842,FALSE
"26163542200","single_tract","26163542200",1,2,1637,2755,811,665,619,660,12.3823675813262,0.229728526555217,FALSE
"26163542300","single_tract","26163542300",1,2,1046,1740,578,435,429,298,7.82568779995717,0.145189012986218,TRUE
"26163542400","single_tract","26163542400",1,2,1112,1923,644,510,390,379,8.67613839922099,0.160967317239722,FALSE
"26163542500","single_tract","26163542500",1,2,1032,1972,571,442,493,466,8.83796500427117,0.16396966612748,FALSE
"26163542600","single_tract","26163542600",1,2,1376,2343,744,585,521,493,10.5438727065025,0.195619159675371,FALSE
"26163542900","single_tract","26163542900",1,3,1362,2682,717,609,683,673,12.0197305472297,0.223000566738956,FALSE
"26163543000","single_tract","26163543000",1,2,709,1413,349,311,343,410,6.32856533324226,0.117413085959968,FALSE
"26163543100","single_tract","26163543100",1,2,966,1915,487,427,489,512,8.57697373929452,0.159127527630696,TRUE
"26163543200","single_tract","26163543200",1,3,1187,2291,739,587,524,441,10.3160918710498,0.191393170149348,FALSE
"26163543300","single_tract","26163543300",1,4,1412,2516,753,600,592,571,11.3011153728663,0.209668188735924,FALSE
"26163543400","single_tract","26163543400",1,3,1386,2344,711,591,588,454,10.5404359222783,0.195555397444867,FALSE
"LPSU_26163543500_26163543900","paired_link","26163543500",2,2,1029,1423,538,344,376,165,6.39310616039421,0.118610503903418,FALSE
"26163543700","single_tract","26163543700",1,2,703,1157,441,329,274,113,5.22837352981625,0.0970013641895407,FALSE
"LPSU_26163544000_26163546301","paired_link","26163544000",2,2,1970,3319,1102,818,934,465,14.9046953495804,0.276524960103532,TRUE
"26163544100","single_tract","26163544100",1,2,1059,1620,630,430,350,210,7.30999226352098,0.135621377801873,FALSE
"26163544200","single_tract","26163544200",1,2,1103,1488,440,311,366,371,6.6583366960695,0.123531293062514,FALSE
"26163544300","single_tract","26163544300",1,2,1320,1795,561,490,496,248,8.08540371570342,0.150007490087262,FALSE
"26163544800","single_tract","26163544800",1,2,886,1289,423,372,334,160,5.82067568850475,0.107990272514003,FALSE
"26163545100","single_tract","26163545100",1,2,530,753,246,196,181,130,3.39115036645646,0.0629155912144055,FALSE
"26163545200","single_tract","26163545200",1,4,1234,1900,620,537,396,347,8.5873764808888,0.15932052840239,FALSE
"26163545500","single_tract","26163545500",1,3,1543,2590,993,716,576,305,11.6988636987491,0.217047563984213,TRUE
"26163545600","single_tract","26163545600",1,3,1684,3326,1384,900,706,336,15.0226880328784,0.278714063689767,FALSE
"26163545700","single_tract","26163545700",1,2,1106,1987,751,584,428,224,8.9947196445931,0.166877915484102,FALSE
"26163545800","single_tract","26163545800",1,3,1859,3508,1405,1084,698,321,15.9191359024474,0.295345749581584,FALSE
"26163545900","single_tract","26163545900",1,2,1637,2530,1018,681,592,239,11.4161690677491,0.211802765635419,TRUE
"26163546000","single_tract","26163546000",1,2,1464,2008,748,554,450,256,9.06799744818326,0.168237429465367,FALSE
"26163546100","single_tract","26163546100",1,2,1626,2645,1021,687,646,291,11.9163756670869,0.221083036495119,FALSE
"26163546201","single_tract","26163546201",1,2,1245,2214,773,645,540,256,10.0075974507714,0.185669711517095,FALSE
"26163546600","single_tract","26163546600",1,2,873,1407,525,349,354,179,6.32806388285058,0.117403782613183,FALSE
"26163546700","single_tract","26163546700",1,2,1299,2091,718,481,529,363,9.38168552806093,0.17405724541857,TRUE
"26163547000","single_tract","26163547000",1,3,1730,2586,753,595,679,559,11.5933142062358,0.215089317369867,FALSE
